time,type,size,volatility,open,high,low,close
2022-05-10 07:00,Red,0.0009100437,272.6719,1.2366,1.23683,1.23592,1.23651
2022-05-10 08:00,Red,0.0012799501,271.8326,1.23651,1.23752,1.23624,1.23641
2022-05-10 09:00,Red,0.0022499561,271.84454,1.2364,1.23674,1.23449,1.23454
2022-05-10 10:00,Red,0.0031399727,270.9517,1.23454,1.23478,1.23164,1.23165
2022-05-10 11:00,Green,0.002800107,271.1065,1.23168,1.23441,1.23161,1.23368
2022-05-10 12:00,Red,0.0037699938,272.10654,1.23369,1.23419,1.23042,1.2307
2022-05-10 13:00,Green,0.0054699183,273.79697,1.23069,1.23583,1.23036,1.2349
2022-05-10 14:00,Red,0.002390027,272.5291,1.23486,1.2356,1.23321,1.23376
2022-05-10 15:00,Red,0.002390027,271.93384,1.23376,1.23414,1.23175,1.23186
2022-05-10 16:00,Green,0.002800107,272.26132,1.23183,1.23406,1.23126,1.23226
2022-05-10 17:00,Red,0.0033699274,271.82083,1.2323,1.23409,1.23072,1.23121
2022-05-10 18:00,Green,0.0036599636,272.55893,1.2312,1.23288,1.22922,1.23123
2022-05-10 19:00,Red,0.0036000013,273.41608,1.23123,1.23269,1.22909,1.23093
2022-05-10 20:00,Green,0.0026900768,272.79712,1.23092,1.2329,1.23021,1.23262
2022-05-10 21:00,Red,0.001940012,272.99948,1.23263,1.23304,1.2311,1.23121
2022-05-10 22:00,Green,0.0019800663,272.54117,1.23121,1.23221,1.23023,1.23177
2022-05-10 23:00,Red,0.0012500286,272.28525,1.23175,1.23218,1.23093,1.23097
2022-05-11 00:00,Green,0.0007799864,272.33286,1.23098,1.2315,1.23072,1.23138
2022-05-11 01:00,Red,0.0005899668,271.79706,1.23138,1.23171,1.23112,1.23131
2022-05-11 02:00,Red,0.0009800196,271.4816,1.23131,1.23158,1.2306,1.23063
2022-05-11 03:00,Green,0.0022000074,270.9935,1.23062,1.2326,1.2304,1.23165
2022-05-11 04:00,Green,0.0014899969,270.60663,1.23164,1.23262,1.23113,1.23246
2022-05-11 05:00,Green,0.0014499426,270.60062,1.23247,1.23376,1.23231,1.23363
2022-05-11 06:00,Red,0.0014899969,270.8447,1.23363,1.23396,1.23247,1.23303
2022-05-11 07:00,Green,0.0010499954,270.75543,1.23303,1.23353,1.23248,1.23349
2022-05-11 08:00,Red,0.0014599562,270.7792,1.2335,1.23407,1.23261,1.23349
2022-05-11 09:00,Green,0.0016800165,270.42206,1.23353,1.23466,1.23298,1.2337
2022-05-11 10:00,Green,0.002350092,270.4281,1.23368,1.23459,1.23224,1.23447
2022-05-11 11:00,Green,0.0033400059,271.3805,1.23445,1.23725,1.23391,1.23723
2022-05-11 12:00,Green,0.0023300648,271.79715,1.23722,1.23895,1.23662,1.23749
2022-05-11 13:00,Red,0.0039099455,273.32098,1.23749,1.23778,1.23387,1.23392
2022-05-11 14:00,Green,0.0036000013,274.55914,1.23391,1.23597,1.23237,1.23562
2022-05-11 15:00,Red,0.008790016,277.84485,1.23565,1.23643,1.22764,1.2287
2022-05-11 16:00,Green,0.011790037,283.98178,1.22871,1.23998,1.22819,1.23834
2022-05-11 17:00,Red,0.0052000284,284.6187,1.23837,1.23893,1.23373,1.23397
2022-05-11 18:00,Red,0.0030100346,285.33295,1.23397,1.23432,1.23131,1.23143
